winery,wine_type,city,country,wine_name,year,overall_rating,overall_rating_count,price,light_bold,smooth_tannic,dry_sweet,soft_acidic
Château La Couspaude,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2009,4.3,207,79.99,74.3631,53.8481,8.48939,49.8336
Château Valandraud,Red wine,Saint-Émilion Grand Cru,France,Virginie de Valandraud Saint-Émilion Grand Cru,2016,4.3,205,74.95,69.8129,52.2205,5.41048,49.5094
Clos Figueras,Red wine,Priorat,Spain,Clos Figueres,2015,4.3,172,79.99,76.7943,47.4866,7.72824,52.1944
Château La Croix de Gay,Red wine,Pomerol,France,Pomerol,2016,4.3,167,76.95,70.7919,49.0723,8.47964,48.1437
Decero,Red wine,Agrelo,Argentina,Amano Remolinos Vineyard,2014,4.3,166,73.99,-1,-1,-1,-1
Château de Saint Cosme,Red wine,Côte-Rôtie,France,Saint Cosme Côte-Rotie,2017,4.3,147,75.47,68.0548,66.3352,2.37231,62.9349
Louis Latour,Red wine,Aloxe-Corton 1er Cru 'Les Chaillots',France,Aloxe-Corton 1er Cru 'Les Chaillots',2015,4.3,143,79.99,33.0135,25.5749,2.32062,60.8659
Mitolo,Red wine,McLaren Vale,Australia,Savitar Shiraz,2004,4.3,129,77.99,80,44.5371,21.6698,41.3855
Artadi,Red wine,Vino de España,Spain,Valdegines,2017,4.3,119,71.99,66.1781,62.5219,8.73377,54.3084
Domaine Tempier,Red wine,Bandol,France,Bandol Cuvée La Migoua,2016,4.3,108,78.99,-1,-1,-1,-1
Domaine Duroché,Red wine,Gevrey-Chambertin,France,Gevrey-Chambertin,2018,4.3,104,71.44,35.4837,30.9625,1.1113,68.4985
Bader-Mimeur,Red wine,Chassagne-Montrachet,France,Chateau de Chassagne-Montrachet Rouge,2015,4.3,98,70.99,27.5126,19.2671,0.059565,56.3062
Cirillo,Red wine,Barossa Valley,Australia,Cirillo 1850 Old Vine Grenache,2012,4.3,96,79.99,-1,-1,-1,-1
Clusel-Roch,Red wine,Côte-Rôtie,France,Les Schistes Côte-Rôtie,2017,4.3,86,74.99,68.462,74.8623,0,65.7301
Domaine Forey Père & Fils,Red wine,Vosne-Romanée,France,Vosne-Romanée,2017,4.3,82,78,38.7051,35.1838,4.46547,69.5739
Domaine Antonin Guyon,Red wine,Chambolle-Musigny,France,Chambolle-Musigny 'Les Cras',2017,4.3,81,76.95,35.7823,29.964,1.02278,67.8365
Pierre Gaillard,Red wine,Côte-Rôtie,France,Côte-Rôtie,2018,4.3,79,71.99,67.5161,66.9916,6.81593,61.9546
Louis Latour,Red wine,Chassagne-Montrachet,France,Chassagne-Montrachet,2016,4.3,77,79.95,30.5345,23.7853,0,61.4038
Bodegas 6º Elemento - Vino Sexto Elemento,Red wine,Valencia,Spain,Tinto,2013,4.3,77,74.99,69.7429,43.4106,19.1208,43.1013
Celler de Capçanes,Red wine,Montsant,Spain,Flor de Primavera Peraj Ha'abib,2018,4.3,73,70.99,71.9923,45.1729,11.4778,53.0979
Domaine Jean-Louis Chave,Red wine,Hermitage,France,Hermitage Selection Farconnet,2016,4.3,65,72.15,80,65.6869,3.52031,52.7344
Domaine de la Mordorée,Red wine,Châteauneuf-du-Pape,France,La Reine Des Bois Châteauneuf-du-Pape,2017,4.3,59,80,80,40.257,7.65412,43.0042
Dard & Ribo,Red wine,Saint-Joseph,France,Saint-Joseph,2018,4.3,57,75.99,71.0003,49.4676,0,56.0608
Clarendon Hills,Red wine,McLaren Vale,Australia,Hickinbotham Grenache,2004,4.3,44,75.97,-1,-1,-1,-1
Château Haut Blanville,Red wine,Languedoc,France,Murmures,2013,4.3,44,79.99,54.6917,47.8155,16.9048,52.4762
Château La Croix du Casse,Red wine,Pomerol,France,Pomerol,1995,4.3,39,74.99,70.753,51.5449,9.46871,49.8788
Domaine Anne et Herve Sigaut,Red wine,Chambolle-Musigny,France,Chambolle-Musigny,2018,4.3,35,74.99,35.4404,27.4348,9.8122,68.9831
Jean-Claude Ramonet,Red wine,Chassagne-Montrachet,France,Chassagne-Montrachet Rouge,2018,4.3,34,77.66,31.9078,20.0615,4.47897,65.5217
Domaine de la Vieille Julienne,Red wine,Châteauneuf-du-Pape,France,Les Hauts-Lieux Châteauneuf-du-Pape,2016,4.3,33,74.99,-1,-1,-1,-1
Jim Barry,Red wine,Clare Valley,Australia,The Benbournie Cabernet Sauvignon,2012,4.3,30,79.99,64.2002,51.7725,4.58647,49.3283
Pierre Girardin,Red wine,Volnay,France,Volnay,2018,4.3,28,72.15,31.3015,22.8804,10.5931,55.7083
